date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:46	595/595	---M--	404	error ('Not%20Found')	text/html	etag:%2233b92-253-48c3560adc980%22	http://www.codeslinger.co.uk/robots.txt		(from )
19:50:47	4927/4927	U-----	200	untouched ('OK')	text/html	date:Thu,%2021%20Jul%202011%2018:39:47%20GMT	http://www.codeslinger.co.uk/	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/index.html	(from )
19:50:48	595/595	---M--	404	error ('Not%20Found')	text/html	etag:%2233b92-253-48c3560adc980%22	http://www.codeslinger.co.uk/index.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/index.2.delayed	(from )
19:50:48	4348/4348	U-----	200	untouched ('OK')	text/css	etag:%22283d46-10fc-451be657a69c0%22	http://www.codeslinger.co.uk/css.css	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/css.css	(from http://www.codeslinger.co.uk/)
19:50:48	595/595	---M--	404	error ('Not%20Found')	text/html	etag:%2233b92-253-48c3560adc980%22	http://www.codeslinger.co.uk/images/gang.jpg	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/images/gang.d.delayed	(from http://www.codeslinger.co.uk/)
19:50:48	821/821	U-----	200	untouched ('OK')	text/css	etag:%22283d45-335-451be65e53980%22	http://www.codeslinger.co.uk/print.css	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/print.css	(from http://www.codeslinger.co.uk/)
19:50:49	4458/4458	U-----	200	untouched ('OK')	text/html	etag:%224015e038-116a-474260eef84c0%22	http://www.codeslinger.co.uk/pages/basics.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/basics.html	(from http://www.codeslinger.co.uk/)
19:50:49	4461/4461	U-----	200	untouched ('OK')	text/html	etag:%224015e10d-116d-4742614d62380%22	http://www.codeslinger.co.uk/pages/projects/zuko.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/zuko.html	(from http://www.codeslinger.co.uk/)
19:50:49	2620/2620	U-----	200	untouched ('OK')	text/html	etag:%224015e10a-a3c-4742613772fc0%22	http://www.codeslinger.co.uk/pages/projects/megadrive.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/megadrive.html	(from http://www.codeslinger.co.uk/)
19:50:50	4159/4159	U-----	200	untouched ('OK')	text/html	etag:%224015e10c-103f-47426124602c0%22	http://www.codeslinger.co.uk/pages/projects/mastersystem.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem.html	(from http://www.codeslinger.co.uk/)
19:50:50	5180/5180	U-----	200	untouched ('OK')	text/html	etag:%224015e10b-143c-47426118ee7c0%22	http://www.codeslinger.co.uk/pages/projects/gameboy.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy.html	(from http://www.codeslinger.co.uk/)
19:50:50	3908/3908	U-----	200	untouched ('OK')	text/html	etag:%224015e03a-f44-4742610aa0600%22	http://www.codeslinger.co.uk/pages/projects/chip8.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/chip8.html	(from http://www.codeslinger.co.uk/)
19:50:51	3345/3345	U-----	200	untouched ('OK')	text/html	etag:%228016aa14-d11-455800faccb80%22	http://www.codeslinger.co.uk/pages/blog/index.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/blog/index.html	(from http://www.codeslinger.co.uk/)
19:50:51	595/595	---M--	404	error ('Not%20Found')	text/html	etag:%2233b92-253-48c3560adc980%22	http://www.codeslinger.co.uk/pages/blog/blog/index.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/blog/blog/index.42.delayed	(from http://www.codeslinger.co.uk/)
19:50:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20Jul%202011%2018:50:49%20GMT	http://www.codeslinger.co.uk/pages/blog/wordpress/index.php	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/blog/wordpress/index.43.delayed	(from http://www.codeslinger.co.uk/)
19:50:52	51/51	U-----	200	untouched ('OK')	image/gif	etag:%224015e110-33-451be680a8a80%22	http://www.codeslinger.co.uk/images/corner2.gif	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/images/corner2.gif	(from http://www.codeslinger.co.uk/css.css)
19:50:52	595/595	---M--	404	error ('Not%20Found')	text/html	etag:%2233b92-253-48c3560adc980%22	http://codeslinger.co.uk/robots.txt		(from http://www.codeslinger.co.uk/pages/blog/index.html)
19:50:52	51/51	U-----	200	untouched ('OK')	image/gif	etag:%224015e112-33-451be68849c80%22	http://www.codeslinger.co.uk/images/corner.gif	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/images/corner.gif	(from http://www.codeslinger.co.uk/css.css)
19:50:52	17996/17996	U-----	200	untouched ('OK')	image/jpeg	etag:%224015e10f-464c-451be68ef6c40%22	http://www.codeslinger.co.uk/images/front.jpg	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/images/front.jpg	(from http://www.codeslinger.co.uk/css.css)
19:50:54	4927/4927	U-----	200	untouched ('OK')	text/html	date:Thu,%2021%20Jul%202011%2018:39:51%20GMT	http://www.codeslinger.co.uk/index.php	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/index-3.html	(from http://www.codeslinger.co.uk/pages/basics.html)
19:50:54	856567/856567	U-----	200	untouched ('OK')	application/pdf	etag:%228016ac20-d11f7-451be6e6b3b40%22	http://www.codeslinger.co.uk/files/emu.pdf	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/files/emu.pdf	(from http://www.codeslinger.co.uk/pages/basics.html)
19:50:54	15103/15103	U-----	200	untouched ('OK')	image/png	etag:%22c0163e32-3aff-4570120a34f40%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/sonic.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/sonic.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:55	17984/17984	U-----	200	untouched ('OK')	image/png	etag:%22c0163e29-4640-456edd1ec3a00%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/phantasy.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/phantasy.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:55	13267/13267	U-----	200	untouched ('OK')	image/png	etag:%22c0163e30-33d3-45ab927cc6980%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/alexnew.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/alexnew.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:55	14121/14121	U-----	200	untouched ('OK')	image/png	etag:%22c0163e2c-3729-456edd1169a80%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/ecco.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/ecco.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:56	18722/18722	U-----	200	untouched ('OK')	image/png	etag:%22c0163e26-4922-45ab8f06cff40%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/lemmings.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/lemmings.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:56	21535/21535	U-----	200	untouched ('OK')	image/png	etag:%22c0163e2a-541f-45ab9293a9f80%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/roadrash.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/roadrash.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:56	17498/17498	U-----	200	untouched ('OK')	image/png	etag:%22c0163e25-445a-45ab928cfcfc0%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/paperboy.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/paperboy.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:57	17764/17764	U-----	200	untouched ('OK')	image/png	etag:%22c0163e2d-4564-45ab928467b80%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/goldenaxe.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/goldenaxe.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:57	13166/13166	U-----	200	untouched ('OK')	image/png	etag:%22c0163e27-336e-45a606902e400%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/f16-1.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/f16-1.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:57	13691/13691	U-----	200	untouched ('OK')	image/png	etag:%22c0163e34-357b-45a60693fed00%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/f16-2.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/f16-2.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:58	16324/16324	U-----	200	untouched ('OK')	image/png	etag:%22c0163e2b-3fc4-45ab97c6fe480%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/mk2.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/mk2.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:58	16224/16224	U-----	200	untouched ('OK')	image/png	etag:%22c0163e35-3f60-45ab97cf938c0%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/images/simpsons.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/images/simpsons.png	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:59	5522/5522	U-----	200	untouched ('OK')	text/html	etag:%228016ac0d-1592-4742629e07dc0%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/resources.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/resources.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:59	8201/8201	U-----	200	untouched ('OK')	text/html	etag:%228016ac0a-2009-4742626b7c680%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/hardware.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/hardware.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:50:59	10072/10072	U-----	200	untouched ('OK')	text/html	etag:%228016ac07-2758-474262b9aff00%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/starting.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/starting.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:51:00	16910/16910	U-----	200	untouched ('OK')	text/html	etag:%228016ac0c-420e-47426291a2080%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/memory.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/memory.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:51:00	20804/20804	U-----	200	untouched ('OK')	text/html	etag:%228016ac0b-5144-474262d463e00%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/z80.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/z80.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:51:00	52336/52336	U-----	200	untouched ('OK')	text/html	etag:%228016ac08-cc70-474262c615c40%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/vdp.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/vdp.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:51:01	5050/5050	U-----	200	untouched ('OK')	text/html	etag:%228016ac0e-13ba-4742628448100%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/joypads.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/joypads.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:51:01	9347/9347	U-----	200	untouched ('OK')	text/html	etag:%228016ac04-2483-47426276ee180%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/interrupts.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/interrupts.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:51:01	19647/19647	U-----	200	untouched ('OK')	text/html	etag:%228016ac03-4cbf-474262ae3e400%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/sound.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/sound.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:51:02	3369/3369	U-----	200	untouched ('OK')	text/html	etag:%228016ac02-d29-474262600ab80%22	http://www.codeslinger.co.uk/pages/projects/mastersystem/finished.html	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/mastersystem/finished.html	(from http://www.codeslinger.co.uk/pages/projects/mastersystem.html)
19:51:02	599204/599204	U-----	200	untouched ('OK')	application/zip	etag:%22c0163e38-924a4-454072b12cfc0%22	http://www.codeslinger.co.uk/pages/projects/gameboy/files/gbsource.zip	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/files/gbsource.zip	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
19:51:02	294789/294789	U-----	200	untouched ('OK')	application/pdf	etag:%22c0163e37-47f85-451be776b4f00%22	http://www.codeslinger.co.uk/pages/projects/gameboy/files/GB.pdf	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/files/GB.pdf	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
19:51:03	9308/9308	U-----	200	untouched ('OK')	image/png	etag:%228016ac18-245c-451be7b0e1840%22	http://www.codeslinger.co.uk/pages/projects/gameboy/images/tetrismain.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/images/tetrismain.png	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
19:51:03	9363/9363	U-----	200	untouched ('OK')	image/png	etag:%228016ac13-2493-451be7ac1cd00%22	http://www.codeslinger.co.uk/pages/projects/gameboy/images/tetris.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/images/tetris.png	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
19:51:03	10472/10472	U-----	200	untouched ('OK')	image/png	etag:%228016ac14-28e8-451be789c7c00%22	http://www.codeslinger.co.uk/pages/projects/gameboy/images/bubble.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/images/bubble.png	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
19:51:04	8583/8583	U-----	200	untouched ('OK')	image/png	etag:%228016ac15-2187-451be7a7581c0%22	http://www.codeslinger.co.uk/pages/projects/gameboy/images/mario.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/images/mario.png	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
19:51:04	10949/10949	U-----	200	untouched ('OK')	image/png	etag:%228016ac17-2ac5-451be7a19f440%22	http://www.codeslinger.co.uk/pages/projects/gameboy/images/mario2.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/images/mario2.png	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
19:51:04	11242/11242	U-----	200	untouched ('OK')	image/png	etag:%228016ac12-2bea-451be78e8c740%22	http://www.codeslinger.co.uk/pages/projects/gameboy/images/linksawake1.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/images/linksawake1.png	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
19:51:05	9834/9834	U-----	200	untouched ('OK')	image/png	etag:%228016ac10-266a-451be79351280%22	http://www.codeslinger.co.uk/pages/projects/gameboy/images/linksawake2.png	C:/Users/David/Documents/Websites/Codeslinger/www.codeslinger.co.uk/pages/projects/gameboy/images/linksawake2.png	(from http://www.codeslinger.co.uk/pages/projects/gameboy.html)
